is_negative,is_netral,is_positive,to_drop,full_text,,,,,,,,,,,,,
,1,,,@ARSIPAJA Deepseek no Deepsial iya,,,,,,,,,,,,,
1,,,,Boomers emang gitu kayak yang udah nyoba pake DeepSeek aja wkwk. Padahal sistem DeepSeek aja masih jelek. Boomers bisa diem aja nggak sih?,,,,,,,,,,,,,
,1,,,@CNNIndonesia Opung Luhut baik Radford (OpenAI) atau pun Fuli (DeepSeek) lakukan riset tahunan bukan satu-dua minggu. https://t.co/9rrbN9dlGk . FYI aja sih https://t.co/Dxd0AdP6XP (Radford),,,,,,,,,,,,,
1,,,,@phikirini @NjiwaFLow Labda hujatumia deepseek mda mrefu ukituma traffic nying sana inakata MOTO mara server busy nk bado sana wakati hata chatGPT wakat inaingia haikuwanhiv,,,,,,,,,,,,,
,1,,,@Mnyiha2 @NjiwaFLow Na navyojua hata deepSeek baadae ikikubalika watabadili fees hawa wote wapo kibiashara sema utawatekaje watu waje kwako ndio anapambana kila kitu anakuja na mwonekano mpya lakin kibaya zaid jama hawako reliable. Hii big turnoff kwao,,,,,,,,,,,,,
,1,,,$lechat #100xgem MC 100k 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump New #DeepSeek #Grok3 #openai https://t.co/SLpmQD68Nd,,,,,,,,,,,,,
1,,,,@ommy_pythonc @NjiwaFLow Chart GPT ni myama mkali tuu deepseek mifumbo yao kila muda iko busy tu,,,,,,,,,,,,,
,1,,,@ambujohn @NjiwaFLow Yeah DEEPSEEK ipo mbali saana kwakweli ijapokuwa CHATGPT sio kwamba ni mbaya hapana ila ni vile amepata mpinzani sahihi,,,,,,,,,,,,,
,1,,,@abbby85 Yeah anakupatia vitu vingi saana Sasa hapo kupanga ni kuchagua ukihitaji ukitaka maelezo juu juu nenda CHATGPT ila Ukitaka taarifa zaidi na maarifa nenda DEEPSEEK,,,,,,,,,,,,,
,1,,,Sebagai referensi AI DeepSeek sempat menghebohkan dunia di awal 2025 dengan model terbaru mereka DeepSeek R1. Namun AI ini dilarang di beberapa negara seperti Korea Selatan Italia Australia dan Taiwan karena dianggap berisiko terhadap keamanan siber.,,,,,,,,,,,,,
,1,,,@NjiwaFLow Chart ni kitu kingine kwa sasa maana hata bila kumlipia anaweza kukutengenezea logo arts mbalimbali japo limited ila anafanya extra thingis ambazo deepseek hafanyi,,,,,,,,,,,,,
,1,,,@republikaonline gaya loe mau bikin deepseek. bikin coretax 1.2 T aja acak adut,,,,,,,,,,,,,
1,,,,Deepseek ni uhi 2 din ko chatak raixa chinese product ta ho jati belai server busy matra :D,,,,,,,,,,,,,
1,,,,@ARSIPAJA Ngapaeeeennnnnnnnn!!! Noh banyak rakyat lu yg kelaperan banyak rakyat lo yg putus sekolah banyak rakat yg jadi gilak saking depresinya sama nasib mereka yg berubah ubah. Dan lo mikirin kita bikin deepseek?! Sakit anjirrrrr lo sakittttt,,,,,,,,,,,,,
,,,1,jabatan aja 5 tahun kagak jadi apa apa pak kok deepseek bisa 2 minggu https://t.co/ZfCMbQf4ti,,,,,,,,,,,,,
,,,1,Menteri Komunikasi dan Digital (Menkomdigi) Meutya Hafid menegaskan bahwa di tengah ramainya pertumbuhan teknologi AI dari Amerika Serikat Open AI dan Tiongkok DeepSeek Indonesia tetap berada di posisi tengah sesuai dengan diplomasi negara. https://t.co/QyG9gAANwo,,,,,,,,,,,,,
,,,1,@catchmeupco ngurus CORTEX aja gak becus...so kau bikin deepseek deepsex pula kau bujang... blg aja mau cari cuan proyekk... bnyk pula laga crita kau batak tua bujang inam.. https://t.co/0dFcWxB0lf,,,,,,,,,,,,,
,,,1,@CNNIndonesia Udahlah chat gpt gratis deepseek juga gratis tinggal nikmati milik aseng kita terkenal eforia begitu ada yang baru yg lama di tinggalin biarlah swasta kalau mau mereka buat sendiri tanpa membebani anggaran melatih model ai lama sesudah jadi musuh udah melangkah jauh,,,,,,,,,,,,,
,,,1,@TirtoID 1) Katanya mau bikin Aplikasi AI yg nyaingi ChatGPT &amp; DeepSeek? Seharusnya tahu diri! Berlagak tahu semua &amp; bisa semua! 2) Kegagalan CoreTax = Indikator terjadinya 'the Wrong Men for the Wrong Job'. 3) Sama spt Pemimpin2 Indonesia dari Rezim ke Rezim.,,,,,,,,,,,,,
,,,1,Luhut Pandjaitan Dorong Indonesia Kembangkan AI Seperti DeepSeek dan ChatGPT https://t.co/Fnsg6HcnfG,,,,,,,,,,,,,
,,,1,@drisul10 Mahalan cost para boomer buat present sama rapatnya kayanya drpd bikin deepseek wrappernya wkwk,,,,,,,,,,,,,
,,,1,@catchmeupco DeepSeek 97 8 miliar Coretax 1 2 T hasilnya amburadul.. Mau bikin AL kaya deepseek yang menang tender nanti dapet 1000 triliun,,,,,,,,,,,,,
,1,,,@widodolestari Lbh pinter dari DeepSeek,,,,,,,,,,,,,
,,,1,The best therapy justru hobby terbaru gw bikin cerita komedi disitu dan gw beneran ngakak sama outputnya bahkan deepseek yg digadang2 melebihi chat gpt aja meh banget hasilnya.,,,,,,,,,,,,,
,,,1,Luhut Binsar Pandjaitan Ingin Indonesia Bikin Pesaing dari DeepSeek dan ChatGPT | https://t.co/NeTtcKxGES https://t.co/IoDNM5lWaP,,,,,,,,,,,,,
,,,1,barangkali temen2 ada yg tertarik hehe: - API azure openai 40k/month buat explore (up to idr200k on billing) - github copilot 50k/month - API deepseek unlimited 50k/mon (for explore/dev) cus dm hehe,,,,,,,,,,,,,
,,,1,@mesanifals @CNNIndonesia Pake deepseek yg diganti nama,,,,,,,,,,,,,
,,,1,Orang tua itu bilang mau bikin teknologi deepseek apaan sih yang mau diseek tai?,,,,,,,,,,,,,
,,,1,USA:Tech &amp; Innovation: OpenAI (ChatGPT) Tesla SpaceX Google Apple Microsoft duniya ke top innovators China:Tech &amp; AI: Baidu (DeepSeek) Alibaba Huawei TikTok (ByteDance) khud ki technology develop kar raha hai Hamara desh :,,,,,,,,,,,,,
,1,,,@raaninh_ jgn deepseek deh mending deeptalk,,,,,,,,,,,,,
,,,1,48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon,,,,,,,,,,,,,
,,1,,Kehadiran AI DeepSeek dari China mengguncang industri teknologi AS. Menkomdigi juga menekankan posisi Indonesia dalam persaingan teknologi global. https://t.co/vm3xw2Si7h,,,,,,,,,,,,,
,1,,,Masih belum bisa top-up balance deepseek yaa?,,,,,,,,,,,,,
,,,1,Luhut Binsar Pandjaitan menginginkan Indonesia untuk membuat sistem kecerdasan buatan (artificial intelligence/AI) seperti DeepSeek dan ChatGPT. https://t.co/FvSBSIDsgt,,,,,,,,,,,,,
,,,1,@TirtoID Luhut Sebut Indonesia Mau Bikin Teknologi Mirip DeepSeek https://t.co/1Te6xUAkzd,,,,,,,,,,,,,
,,1,,hebatnya kekuatan open source + gerak cepat luar biasa cina. basically industri teknologi cina sudah terkoneksi dengan DeepSeek. mulai dari smartware media internet hingga biomedis dan otomatif industri. https://t.co/N1oJRP8qQd,,,,,,,,,,,,,
,1,,,@collegemfs coba parafrase nder di chat gpt tapi pake prompt ini: ''tolong parafrase kalimat ini lebih baik dibanding hasil deepseek''. kemaren aku turnitin juga jadi rendah nder karna pake cara ini,,,,,,,,,,,,,
,1,,,Dear para pengguna @deepseek_ai kalian kalau pas pakek ni aplikasi apa juga suka sibuk servernya punyaku sering gitu soalnya,,,,,,,,,,,,,
,1,,,mules kepalaku baca ini....coretax gak beres....aplikasi pemerintahan bejibun nir-manfaat ehhh kok malah mo saingin deepseek....kejauhan mbah mimpinya,,,,,,,,,,,,,
,1,,,Tiba-tiba terfikir. Kalau aku buat event lumba menulis macamana aku nak tahu peserta tak guna ChatGPT atau Deepseek untuk generate word count tu? I don't have this problem last year wtf?,,,,,,,,,,,,,
1,,,,Begini Opung: DeepSeek dan ChatGPT dikembangkan melalui riset yang panjang tanpa korupsi kolusi dan nepotisme https://t.co/mpU17g8fOH,,,,,,,,,,,,,
,1,,,Ketua Dewan Ekonomi Nasional (DEN) Luhut Binsar Pandjaitan berencana membuat teknologi Artificial Intelligence (AI) menyerupai DeepSeek. Menurut Luhut Indonesia memiliki Sumber Daya Manusia unggulan yang merupakan anak-anak muda disertai tekbologi. Saya rasa itu kan adalah https://t.co/h9X2wX0Uso,,,,,,,,,,,,,
,1,,,@NjiwaFLow Mmarekani anaogopa sana deepseek kaka,,,,,,,,,,,,,
,1,,,@TirtoID coretax ongkos 1 trilyun aja butut sekali ini koq berani bgt mau bikin deepseek yg dijamin pasti abal2.,,,,,,,,,,,,,
,1,,,@CNNIndonesia Mau punyaa deepseek sendirikah? https://t.co/sG4VnrutYO,,,,,,,,,,,,,
,1,,,@CNNIndonesia Deepseek butuh 97m chatgpt 1t kenapa cortex yang baru2 ini dibuat pemerintah 1 3T?,,,,,,,,,,,,,
,1,,,@Mnyiha2 kweli mkuu Ila ukumbuke Deepseek imetengenezwa kumpindua ChatGPT,,,,,,,,,,,,,
,1,,,@NjiwaFLow Mzee huwa hatulinganishi AI systems hivi kwasababu kila moja imetengenezwa kwa Madhumuni tofauti! Lakini so far OpenAI ChatGPT is more powerful than DeepSeek!,,,,,,,,,,,,,
,1,,,Chery Gandeng DeepSeek Mendefinisikan Ulang Ekosistem Interaksi AI Robot Aimoga https://t.co/CelCzxL97e,,,,,,,,,,,,,
,1,,,Coretax aplikasi sampah aja buang buang duit trilunan sedangkan deepseek ga sampe triliunan . Gimana mau meniru deepseek ??? Mau berapa ratus triliun duit rakyat dihamburkan ???,,,,,,,,,,,,,
,,1,,@kotak_kantor @HabisNontonFilm Banyak keluaran dari China yang bagus2 sekarang Black Myth Wukong Marvel Rivals DeepSeek. Hanya karena gk rame disana bukan berarti secara worldwide enggak. Not everything is a propaganda just because they are from China https://t.co/H6Yyqsf39N,,,,,,,,,,,,,
,,,1,Heh coretax aja ga betul apalagi bikin deepseek....pejabat indon kalo nggak ndakik-ndakik sehari kayaknya sakau.,,,,,,,,,,,,,
,,,1,Deepshit wannabe. Coretax aja belepotan kls 'lumpur hisap' bukan rawa2 lagi. Deepseek dsbt sbg apps ini sp yg ngejelasin ke Lord? Kl pentungan msh bs berfungsi utk menjaga &amp; mengawasi performa knp kudu 'CCTV' ? Padahal CCTV jg pas kasus sering ga guna kok. #IYKWIM,,,,,,,,,,,,,
1,,,,DeepSeek Minggir Grok-3 Terbaru Milik Elon Musk Diklaim Lebih Canggih https://t.co/y7SXohdUJf,,,,,,,,,,,,,
,,,1,@elchiapp @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@CatholicBTC @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@aeroquatik @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@THEPROUDARABIYE @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@lolitazemorita @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@robchecco @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@EsotericCofe @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@Cyrus19159552 @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@poutaine @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@S_Montel @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@arnoklarsfeld @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@Reine_Margot2 @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@fareesh @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@ilhaan @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@MarcosDarkos @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@bartofrenchking @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@TurcuCarmen @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@AJLobo2222 @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@thevtalks @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@Eldhed @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@LeSaintFact @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@tito @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@MocroMoon @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@uncertainsys @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@reach_vb @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@ElectricRaph @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@crea_tiffany @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@KindaNoel @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,Tools yang dipakai: https://t.co/p8U7oHgJ9M Automate proses ekstraksi &amp; outreach Google Sheets Simpan &amp; olah data leads Apify Scrape data bisnis dari Google Maps DeepSeek AI Ai Untuk membuat Copywriting email,,,,,,,,,,,,,
,,,1,@OurielOhayon @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@10ZOO__ @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@befreeshcrypto @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@Mowgli_Trading @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@aysebebeck @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@TribunePop23 @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@AlexandreRifai @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,Trump Ragu Larangan Total DeepSeek 19 Februari 2025 https://t.co/b5OgbLVnWG,,,,,,,,,,,,,
,,,1,@farokh @EmmanuelMacron Ca 48B8EuNerXrwBah4MPpccF7u7jEto8L7HZcFcbU6pump $LeChat #LeChat next #DeepSeek 10-20m$ mc soon.,,,,,,,,,,,,,
,,,1,@TirtoID coretax pasti secara anggarannya lebih mahal dari deepseek,,,,,,,,,,,,,
,,1,,@cnbcindonesia wkwk negara ini butuh real enemy sih biar gak bercanda mulu pejabatnya mau bikin aplikasi serupa DeepSeek katanya. Coretax: punten slur,,,,,,,,,,,,,
,1,,,@cnbcindonesia @luhut_binsar kita SUDAH FOYA FOYA Hamburkan Uang Triliyunan Rupiah lebih mahal dari AI Deepseek ataupun Chat GPT tapi hasilnya SAMPAH yaitu Coretax @DitjenPajakRI @KemenkeuRI Jadi jangan hambur - hamburkan pajak rakyat lagi Luhut ! https://t.co/pLPGY84vEW,,,,,,,,,,,,,
,1,,,Butuh anggaran dana berapa ini ? Coretax aja kemarin biaya yang dikeluarin ngalah-ngalahin DeepSeek namun hasilnya jauh dari kata sempurna dan malah menyusahkan wkwkwk,,,,,,,,,,,,,
,1,,,Nah ternyata Deepseek didevelop $MEAPY. Bukan $6jt,,,,,,,,,,,,,
,1,,,sukaan chatgpt daripada deepseek,,,,,,,,,,,,,
,1,,,palingan juga pake API DeepSeek terus UI pake gimmick gimmick biometric.,,,,,,,,,,,,,
,1,,,@takmenyesal dah gausah lu ribut2 siapkan ai macam deepseek tu. belajar dulu konsep OSS. bongak,,,,,,,,,,,,,
,1,,,Kalau deepseek menolak menjawab tragedi Tiananmen Square kalau ini.....,,,,,,,,,,,,,
1,,,,@cnbcindonesia Halah Coretax aja amburadul deepseek ndasmu,,,,,,,,,,,,,
1,,,,@TirtoID Namanya deepocket. Overbudget dikorup kualitas nol. Cuma modal api deepseek uinya diganti dikit.,,,,,,,,,,,,,
,1,,,Dampak Kehadiran DeepSeek dari Hong Kong hingga Indonesia https://t.co/bR4JCbrjU2,,,,,,,,,,,,,
,1,,,Deepseek: AI Buatan Cina yang Mulai Mendunia Baca selengkapnya di https://t.co/ayk67XigmD Informasi selengkapnya silakan hubungi kontak melalui: Instagram : @ultimagz YouTube : @ultimagz X: @ultimagz Salam Deadline! ________ ULTIMAGZ,,,,,,,,,,,,,
,1,,,ini mah aplikasi biasa tapi pake API deepseek wkwk. dipikir rakyat indo pada bego teknologi kali ya,,,,,,,,,,,,,
,1,,,@aniie2881 @nyomanindra1 @hendrianzix @bittimexchange @PiCoreTeam Jadi ingat postingan ini sebenarnya deepseek maupun yg lain seperti google tapi merangkum https://t.co/wYOf4X1wz8,,,,,,,,,,,,,
,1,,,@testerlabor ternyatabgrok tidak lebih besar dibandingkan deepseek,,,,,,,,,,,,,
,1,,,@ilhamnug12 deepseek dengan kearifan lokal,,,,,,,,,,,,,
1,,,,@TirtoID Ngilangin tulisan lorem ipsum template-an aja ngga bisa mau ngide buat deepseek wkwk,,,,,,,,,,,,,
1,,,,FOMO BGT SIH MONYET LO KAGAK LIAT APE INDO LAGI KEK BEGIMANE MALAH PGN BIKIN APP KEK DEEPSEEK TOLOL BGT,,,,,,,,,,,,,
,1,,,Indon mau bikin saingannya deepseek namanya deepsleep~,,,,,,,,,,,,,
,1,,,Coretax aja masih kaya tai malah mau bikin ala2 deepseek kwe utek e nangdii,,,,,,,,,,,,,
,1,,,@marchhumanrace @randyvrnd @cnbcindonesia gw gak bela pemerintah tpi keknya mereka mau pake llm model yg dicustom dri base modelnya deepseek aja bukan api,,,,,,,,,,,,,
,,1,,bikin coretax anggaran cuma seupil kalo dibandingin aplikasi pajak yg berhasil di bbrpa negara lain hasilnya ya jelas kaya tai skrg ngide bikin AI yg mirip mirip deepseek kalo anggaran cuma 1 5T ya jangan ngarep hasilnya bagus,,,,,,,,,,,,,
,,1,,Apanya yg perlu dibanggakan di negeri sana dengan Deepseek?. Di pemerintahan konoha sudah lama ada deepsleep pulas berkelanjutan..,,,,,,,,,,,,,
,1,,,@TirtoID Hmm. ..gak.usah ribut ..mua mau dl.deh.. Segera aj tunjukin. Atau mau duplikasi deepseek ya? Ganti nama ..? Hmm bener apa bener ya?,,,,,,,,,,,,,
,1,,,@ARSIPAJA Pelawak semua kah pejabat indon? Coretax project triliunan aja ga jelas apalagi mau bikin yang mirip deepseek?,,,,,,,,,,,,,
,1,,,Seberapa Aman Aplikasi DeepSeek? Berikut Ini Penjelasannya https://t.co/0mnqt1dTJT,,,,,,,,,,,,,
1,,,,bukan bermaksud gimana2 aplikasi sekelas coretax aja butuh dana sampe 1 3T itupun amburadul sistemnya apalagi MIRIP deepseek coba? butuh berapa puluh T itupun tanpa jaminan ga bakal amburadul juga ‍️,,,,,,,,,,,,,
,1,,,@papanberjalan kirain mulai dari nol ternyata pake jurus yang digunakan deepseek pake model yang udah jadi tinggal di modiflah anggarannya 100 Trilyun worth it lah yah,,,,,,,,,,,,,
1,,,,@hnirankara @susipudjiastuti Bikin coretax aja error smp sekarang kok mw bikin ala deepseek,,,,,,,,,,,,,
,1,,,@pikiran_rakyat Tolong...tolong....para WNI jangan sekali-sekali menyesali menjadi WNI ya jangan juga kabur ke LN itu tidak nasionalis kita harus patriotik menyelesaikan masalah sama-sama apalagi Pak Prabowo baru tiga bulan kok. Kita lagi ngumpulkan talent tuk bikin AI spt DeepSeek jd sabar,,,,,,,,,,,,,
,1,,,Benerin noh coretax! pake segala mau buat deepseek pak.,,,,,,,,,,,,,
,1,,,@sntot paling habis 10T buat bikin deepseek wrapper (nyambung ke deepseek CN disuruh pake b. indo di prompt terus pura pura buatan lokal),,,,,,,,,,,,,
,1,,,@cnbcindonesia Lansia kebanyakan ngawang coretax aja triliunan jadi sampah sok - sokan mau bikin deepseek Negara latah nengok keatas negara maju yg selalu jadi patokan Tapi gak sadar diri kalo isi negaranya ancur lebur gara - gara ulah mereka,,,,,,,,,,,,,
,1,,,DeepSeek didakwa kongsi data pengguna dengan pemilik TikTok https://t.co/XuaRE9rzRO,,,,,,,,,,,,,
,1,,,Kenapa hero ini begitu gacor #IndonesiaGelap #ArtistBersuara #MPLID #MLBB #MobileLegendsBangBangindonesia #deepseek #deepseekai #mobilelegends #mlbbinfo #mlbb #mlcommunity #mlbbph #mlbbcreatorcamp #mlbbtrivia https://t.co/NFa6zgJVOl,,,,,,,,,,,,,
,1,,,Gak perlu bikin generative #AI seperti @deepseek_ai &amp; @MistralAI yang butuh PLTN untuk running modelnya. Cukup develop specialized #AI untuk selesaikan masalah tertentu/khusus saja.,,,,,,,,,,,,,
1,,,,@CNNIndonesia bikin aplikas coretax yg trilyunan aja amburadul ngalah2in biaya bikin deepseek,,,,,,,,,,,,,
,,1,,kami akan membuat AI serupa dengan DeepSeek,,,,,,,,,,,,,
,1,,,@ARSIPAJA ngimpi orang orang seperti ini kadang gak ngukur.. cortax aja gagal apalagi AI seperti deepseek,,,,,,,,,,,,,
,1,,,Ga murah biaya rnd ngapain bikin. Kenapa ga kembangin deepseek aja their code is out in public?,,,,,,,,,,,,,
,1,,,Wuiihhh...satu lagi muncul startup AI akan jadi pesaing OpenAI dan DeepSeek,,,,,,,,,,,,,
,,1,,@TirtoID Kalau mirip ngapain juga bikin? Kalau mau bikin itu sesuatu yang beda om yang lebih bagus. Kalau bikin cuma mirip mending pake aja yang udah ada chatgpt atau deepseek lebih murah.,,,,,,,,,,,,,
,1,,,KP In 90 Seconds Pashto #DeepSeek https://t.co/0H8nffCdh7,,,,,,,,,,,,,
,1,,,Saingan Deepseek Depapepek,,,,,,,,,,,,,
,1,,,@gg_02022020 DeepSeek itu mesinnya perplexity pabriknya krn dia ngumpulin sources. Di dalem perplexity bisa milih DeepSeek/openAI,,,,,,,,,,,,,
,1,,,@lucaxyzz Oh ini pake DeepSeek ya? Msh blm coba perplexity neh.,,,,,,,,,,,,,
,1,,,Bikin apa??? Coretax aja yang busuk sebusuk2 nya itu ngabisin hampir 2 T mau bikin deepseek??? Negara ini negara miskin bos banyak utang. jadi orang miskin itu harus hemat kecuali pakai uang curian @luhut_binsar . CC @prabowo @gibran_tweet @Gerindra,,,,,,,,,,,,,
,1,,,HAPPENING Ketua Dewan Ekonomi Nasional (DEN) Luhut Binsar Pandjaitan mengungkapkan saat ini pemerintah tengah menyiapkan tim untuk membuat artificial intelligence (AI) layaknya DeepSeek. https://t.co/ahmiLaQvQO,,,,,,,,,,,,,
,1,,,Mau fine-tuning DeepSeek pake data warga RI dari dukcapil yang bocor itu?,,,,,,,,,,,,,
,1,,,@hrdbacot Urgensinya? Perbedaan antara punya RI Deepseek dan GPT apa?,,,,,,,,,,,,,
,1,,,@blank0429 @msaid_didu @deepseek_ai Pak mentri @NataliusPigai2 udah datang berkunjung? Apalagi sibuk cari duit 20T buat bikin sekolh?,,,,,,,,,,,,,
,1,,,Ambil LLM nya AI yg opensource (deepseek llama dll) implement taruh di server pemerintah ganti training model nya tempelin embel2 buatan Indonesia boom (APA YG KALIAN HARAPKAN DRI PEMERINTAH YG SUKA NGINJEK2 PEKERJA DIGITAL WKWK) 58% (mayoritas) rakyat bakal terkesima,,,,,,,,,,,,,
,1,,,@DeepSolanaa @TeamDeepseek Deepseek for $ZAI CA: 8vwqxHGz1H4XxyKajr99Yxm65HjYNVtqtCNoM2yWb13e,,,,,,,,,,,,,
1,,,,@TirtoID Bikin coretax aja ngabisin 1T lebih tapi ngaco sok soan mau mirip2in deepseek,,,,,,,,,,,,,
